Datetime,Episode,Validation_Score
2023-10-07 16:34:28,10,2543
2023-10-07 16:34:35,20,2909
2023-10-07 16:34:43,30,2937
2023-10-07 16:34:51,40,2861
2023-10-07 16:34:58,50,2879
2023-10-07 16:35:06,60,2907
2023-10-07 16:35:14,70,2907
2023-10-07 16:35:21,80,2897
2023-10-07 16:35:29,90,2899
2023-10-07 16:35:37,100,2899
2023-10-07 16:35:45,110,2921
2023-10-07 16:35:53,120,2921
2023-10-07 16:36:01,130,2921
2023-10-07 16:36:10,140,2921
2023-10-07 16:36:18,150,2921
2023-10-07 16:36:26,160,2921
2023-10-07 16:36:34,170,2921
2023-10-07 16:36:42,180,2921
2023-10-07 16:36:50,190,2921
2023-10-07 16:36:58,200,2921
2023-10-07 16:37:06,210,2887
2023-10-07 16:37:14,220,2921
2023-10-07 16:37:23,230,2921
2023-10-07 16:37:31,240,2921
2023-10-07 16:37:39,250,2921
2023-10-07 16:37:47,260,2921
2023-10-07 16:37:55,270,2921
2023-10-07 16:38:03,280,2921
2023-10-07 16:38:12,290,2921
2023-10-07 16:38:20,300,2921
2023-10-07 16:38:28,310,2921
2023-10-07 16:38:37,320,2921
2023-10-07 16:38:45,330,2921
2023-10-07 16:38:53,340,2929
2023-10-07 16:39:02,350,2929
2023-10-07 16:39:10,360,2921
2023-10-07 16:39:19,370,2921
2023-10-07 16:39:27,380,2929
2023-10-07 16:39:37,390,2929
2023-10-07 16:39:46,400,2933
2023-10-07 16:39:54,410,2933
2023-10-07 16:40:03,420,2929
2023-10-07 16:40:12,430,2937
2023-10-07 16:40:23,440,2921
2023-10-07 16:40:34,450,2933
2023-10-07 16:40:45,460,2933
2023-10-07 16:40:54,470,2921
2023-10-07 16:41:03,480,2933
2023-10-07 16:41:15,490,2941
2023-10-07 16:41:33,500,2937
2023-10-07 16:41:43,510,2943
2023-10-07 16:41:53,520,2929
2023-10-07 16:42:02,530,2929
2023-10-07 16:42:10,540,2933
2023-10-07 16:42:20,550,2752
2023-10-07 16:42:28,560,2909
2023-10-07 16:42:37,570,2909
2023-10-07 16:42:45,580,2929
2023-10-07 16:42:54,590,2937
2023-10-07 16:43:02,600,2921
2023-10-07 16:43:11,610,2921
2023-10-07 16:43:20,620,2921
2023-10-07 16:43:29,630,2947
2023-10-07 16:43:37,640,2941
2023-10-07 16:43:46,650,2947
2023-10-07 16:43:54,660,2947
2023-10-07 16:44:03,670,2941
2023-10-07 16:44:11,680,2941
2023-10-07 16:44:20,690,2937
2023-10-07 16:44:29,700,2937
2023-10-07 16:44:37,710,2921
2023-10-07 16:44:46,720,2921
2023-10-07 16:44:54,730,2921
2023-10-07 16:45:03,740,2921
2023-10-07 16:45:12,750,2933
2023-10-07 16:45:20,760,2933
2023-10-07 16:45:29,770,2937
2023-10-07 16:45:38,780,2937
2023-10-07 16:45:46,790,2937
2023-10-07 16:45:55,800,2937
2023-10-07 16:46:03,810,2933
2023-10-07 16:46:12,820,2933
2023-10-07 16:46:21,830,2933
2023-10-07 16:46:29,840,2937
2023-10-07 16:46:38,850,2941
2023-10-07 16:46:46,860,2941
2023-10-07 16:46:55,870,2951
2023-10-07 16:47:04,880,2951
2023-10-07 16:47:13,890,2933
2023-10-07 16:47:21,900,2951
2023-10-07 16:47:30,910,2947
2023-10-07 16:47:39,920,2951
2023-10-07 16:47:47,930,2951
2023-10-07 16:47:56,940,2951
2023-10-07 16:48:04,950,2951
2023-10-07 16:48:13,960,2951
2023-10-07 16:48:22,970,2951
2023-10-07 16:48:31,980,2951
2023-10-07 16:48:39,990,2933
2023-10-07 16:48:48,1000,2951
2023-10-07 16:48:56,1010,2947
2023-10-07 16:49:05,1020,2947
2023-10-07 16:49:13,1030,2951
2023-10-07 16:49:21,1040,2951
2023-10-07 16:49:30,1050,2951
2023-10-07 16:49:38,1060,2951
2023-10-07 16:49:47,1070,2947
2023-10-07 16:49:56,1080,2947
2023-10-07 16:50:04,1090,2933
2023-10-07 16:50:12,1100,2951
2023-10-07 16:50:21,1110,2951
2023-10-07 16:50:29,1120,2951
2023-10-07 16:50:38,1130,2951
2023-10-07 16:50:46,1140,2947
2023-10-07 16:50:55,1150,2951
2023-10-07 16:51:03,1160,2951
2023-10-07 16:51:12,1170,2947
2023-10-07 16:51:21,1180,2947
2023-10-07 16:51:29,1190,2951
2023-10-07 16:51:38,1200,2947
2023-10-07 16:51:47,1210,2951
2023-10-07 16:51:55,1220,2951
2023-10-07 16:52:04,1230,2951
2023-10-07 16:52:12,1240,2951
2023-10-07 16:52:21,1250,2951
2023-10-07 16:52:30,1260,2951
2023-10-07 16:52:38,1270,2951
2023-10-07 16:52:46,1280,2951
2023-10-07 16:52:55,1290,2951
2023-10-07 16:53:03,1300,2951
2023-10-07 16:53:12,1310,2955
2023-10-07 16:53:20,1320,2955
2023-10-07 16:53:30,1330,2955
2023-10-07 16:53:38,1340,2949
2023-10-07 16:53:47,1350,2949
2023-10-07 16:53:55,1360,2949
2023-10-07 16:54:04,1370,2949
2023-10-07 16:54:12,1380,2949
2023-10-07 16:54:21,1390,2951
2023-10-07 16:54:30,1400,2951
2023-10-07 16:54:38,1410,2951
2023-10-07 16:54:47,1420,2951
2023-10-07 16:54:56,1430,2951
2023-10-07 16:55:04,1440,2951
2023-10-07 16:55:13,1450,2951
2023-10-07 16:55:22,1460,2951
2023-10-07 16:55:30,1470,2951
2023-10-07 16:55:39,1480,2955
2023-10-07 16:55:48,1490,2955
2023-10-07 16:55:56,1500,2955
2023-10-07 16:56:05,1510,2955
2023-10-07 16:56:14,1520,2955
2023-10-07 16:56:23,1530,2955
2023-10-07 16:56:31,1540,2955
2023-10-07 16:56:40,1550,2955
2023-10-07 16:56:48,1560,2955
2023-10-07 16:56:57,1570,2955
2023-10-07 16:57:06,1580,2955
2023-10-07 16:57:15,1590,2955
2023-10-07 16:57:24,1600,2955
2023-10-07 16:57:33,1610,2955
2023-10-07 16:57:42,1620,2955
2023-10-07 16:57:51,1630,2955
2023-10-07 16:57:59,1640,2955
