Datetime,Episode,Validation_Score
2023-10-07 22:20:25,10,2859
2023-10-07 22:20:28,20,2847
2023-10-07 22:20:30,30,2847
2023-10-07 22:20:33,40,2847
2023-10-07 22:20:36,50,2979
2023-10-07 22:20:39,60,2979
2023-10-07 22:20:42,70,2979
2023-10-07 22:20:44,80,2979
2023-10-07 22:20:47,90,2979
2023-10-07 22:20:49,100,2979
2023-10-07 22:20:52,110,2979
2023-10-07 22:20:54,120,2979
2023-10-07 22:20:57,130,2979
2023-10-07 22:20:59,140,2971
2023-10-07 22:21:02,150,2971
2023-10-07 22:21:05,160,2979
2023-10-07 22:21:07,170,2979
2023-10-07 22:21:10,180,2979
2023-10-07 22:21:12,190,2971
2023-10-07 22:21:15,200,2979
2023-10-07 22:21:17,210,2979
2023-10-07 22:21:20,220,2979
2023-10-07 22:21:22,230,2979
2023-10-07 22:21:25,240,2979
2023-10-07 22:21:28,250,2979
2023-10-07 22:21:30,260,2979
2023-10-07 22:21:33,270,2987
2023-10-07 22:21:35,280,2971
2023-10-07 22:21:38,290,2965
2023-10-07 22:21:40,300,2987
2023-10-07 22:21:43,310,2979
2023-10-07 22:21:46,320,2979
2023-10-07 22:21:48,330,2979
2023-10-07 22:21:51,340,2979
2023-10-07 22:21:54,350,2979
2023-10-07 22:21:56,360,2979
2023-10-07 22:21:59,370,2979
2023-10-07 22:22:01,380,2979
2023-10-07 22:22:04,390,2979
2023-10-07 22:22:06,400,2979
2023-10-07 22:22:09,410,2971
2023-10-07 22:22:12,420,2979
2023-10-07 22:22:14,430,2971
2023-10-07 22:22:17,440,2979
2023-10-07 22:22:19,450,2957
2023-10-07 22:22:22,460,2965
2023-10-07 22:22:25,470,2965
2023-10-07 22:22:27,480,2971
2023-10-07 22:22:30,490,2979
2023-10-07 22:22:32,500,2979
2023-10-07 22:22:35,510,2979
2023-10-07 22:22:37,520,2979
2023-10-07 22:22:40,530,2987
2023-10-07 22:22:43,540,2979
2023-10-07 22:22:45,550,2979
2023-10-07 22:22:48,560,2979
2023-10-07 22:22:50,570,2979
2023-10-07 22:22:53,580,2979
2023-10-07 22:22:56,590,2979
2023-10-07 22:22:58,600,2979
2023-10-07 22:23:01,610,2979
2023-10-07 22:23:03,620,2979
2023-10-07 22:23:06,630,2979
2023-10-07 22:23:08,640,2979
2023-10-07 22:23:11,650,2979
2023-10-07 22:23:14,660,2987
2023-10-07 22:23:16,670,2987
2023-10-07 22:23:19,680,2979
2023-10-07 22:23:21,690,2979
2023-10-07 22:23:24,700,2979
2023-10-07 22:23:26,710,2979
2023-10-07 22:23:29,720,2971
2023-10-07 22:23:32,730,2971
2023-10-07 22:23:34,740,2971
2023-10-07 22:23:37,750,2979
2023-10-07 22:23:39,760,2979
2023-10-07 22:23:42,770,2979
2023-10-07 22:23:45,780,2979
2023-10-07 22:23:47,790,2979
2023-10-07 22:23:50,800,2979
2023-10-07 22:23:52,810,2979
2023-10-07 22:23:55,820,2979
2023-10-07 22:23:57,830,2987
2023-10-07 22:24:00,840,2987
2023-10-07 22:24:03,850,2979
2023-10-07 22:24:05,860,2971
2023-10-07 22:24:08,870,2979
2023-10-07 22:24:10,880,2979
2023-10-07 22:24:13,890,2979
2023-10-07 22:24:16,900,2979
2023-10-07 22:24:18,910,2979
2023-10-07 22:24:21,920,2979
2023-10-07 22:24:23,930,2979
2023-10-07 22:24:26,940,2979
2023-10-07 22:24:29,950,2979
2023-10-07 22:24:31,960,2979
2023-10-07 22:24:34,970,2979
2023-10-07 22:24:36,980,2979
2023-10-07 22:24:39,990,2979
2023-10-07 22:24:42,1000,2979
2023-10-07 22:24:44,1010,2979
2023-10-07 22:24:47,1020,2979
2023-10-07 22:24:49,1030,2979
2023-10-07 22:24:52,1040,2979
2023-10-07 22:24:55,1050,2979
2023-10-07 22:24:57,1060,2979
2023-10-07 22:25:00,1070,2979
2023-10-07 22:25:03,1080,2979
2023-10-07 22:25:05,1090,2979
2023-10-07 22:25:08,1100,2979
2023-10-07 22:25:10,1110,2979
2023-10-07 22:25:13,1120,2979
2023-10-07 22:25:16,1130,2979
2023-10-07 22:25:19,1140,2979
2023-10-07 22:25:21,1150,2979
2023-10-07 22:25:24,1160,2979
2023-10-07 22:25:26,1170,2979
2023-10-07 22:25:29,1180,2979
2023-10-07 22:25:32,1190,2979
2023-10-07 22:25:34,1200,2979
2023-10-07 22:25:37,1210,2979
2023-10-07 22:25:39,1220,2979
2023-10-07 22:25:42,1230,2979
2023-10-07 22:25:45,1240,2979
2023-10-07 22:25:47,1250,2979
2023-10-07 22:25:50,1260,2979
2023-10-07 22:25:53,1270,2979
2023-10-07 22:25:55,1280,2979
